,Name,Prices,Page,Format,Language,Pub Date,Publisher,Author,Dimensions,Categories
0,Pageboy: A Memoir,27.89,288,Hardcover,English,"June 06, 2023",Flatiron Books,Elliot Page,5.6 X 8.6 X 1.2 inches | 0.8 pounds,Entertainment & Performing Arts   Personal Memoirs   LGBT   
1,Safe and Sound: A Renter-Friendly Guide to Home Repair,23.24,224,Hardcover,English,"August 22, 2023",DK Publishing (Dorling Kindersley),Mercury Stardust,0.0 X 0.0 X 0.0 inches | 1.25 pounds,LGBT   Maintenance & Repair   Reference   
2,Let This Radicalize You: Organizing and the Revolution of Reciprocal Care,16.69,296,Paperback,English,"May 16, 2023",Haymarket Books,Kelly Hayes,5.5 X 8.4 X 0.8 inches | 0.85 pounds,"Political Ideologies - Radicalism   Feminism & Feminist Theory   Future Studies   Activism & Social Justice   Cultural, Ethnic & Regional - African American & Black   African American   "
3,Quietly Hostile: Essays,15.81,304,Paperback,English,"May 16, 2023",Vintage,Samantha Irby,5.1 X 7.9 X 0.8 inches | 0.5 pounds,Personal Memoirs   Form - Essays   Essays   
4,Demon Copperhead: A Pulitzer Prize Winner,30.23,560,Hardcover,English,"October 18, 2022",Harper,Barbara Kingsolver,6.4 X 8.9 X 1.7 inches | 1.94 pounds,Literary   Coming of Age   Small Town & Rural   Southern   Historical - General   
5,This Is How You Lose the Time War,15.80,224,Paperback,English,"March 17, 2020",Gallery / Saga Press,Amal El-Mohtar,5.4 X 8.2 X 0.6 inches | 0.4 pounds,Fantasy - General   Romance - Science Fiction   Science Fiction - Time Travel   
6,The Covenant of Water (Oprah's Book Club),29.76,736,Hardcover,English,"May 02, 2023",Grove Press,Abraham Verghese,6.4 X 9.1 X 2.3 inches | 2.02 pounds,Literary   Medical   Family Life - General   World Literature - India - General   
7,"The Wager: A Tale of Shipwreck, Mutiny and Murder",27.90,352,Hardcover,English,"April 18, 2023",Doubleday Books,David Grann,6.38 X 9.51 X 1.42 inches | 1.5 pounds,Europe - Great Britain - Georgian Era (1714-1837)   Maritime History & Piracy   Murder - Mass Murder   General   
8,Braiding Sweetgrass,18.60,408,Paperback,English,"August 11, 2015",Milkweed Editions,Robin Wall Kimmerer,5.4 X 8.4 X 1.0 inches | 1.15 pounds,Ecology   Essays   Ethnic Studies - Native American Studies   Plants - General   Life Sciences - Botany   Life Sciences - Ecology   Philosophy & Social Aspects   Anthropology - Cultural & Social   
9,Trust (Pulitzer Prize Winner),26.04,416,Hardcover,English,"May 03, 2022",Riverhead Books,Hernan Diaz,6.4 X 9.0 X 1.4 inches | 1.36 pounds,Historical - General   Literary   Family Life - Marriage & Divorce   
10,Raw Dog: The Naked Truth about Hot Dogs,25.10,320,Hardcover,English,"May 23, 2023",Forge,Jamie Loftus,5.7 X 8.54 X 1.13 inches | 0.86 pounds,Essays & Narratives   General   History   Agriculture & Food   Essays & Travelogues   Topic - Celebrity & Popular Culture   
11,Not Too Late: Changing the Climate Story from Despair to Possibility,15.76,200,Paperback,English,"April 04, 2023",Haymarket Books,Thelma Young Lutunatabua,5.2 X 7.4 X 0.8 inches | 0.6 pounds,Activism & Social Justice   Public Policy - Environmental Policy   Global Warming & Climate Change   Environmental Science (see also Chemistry - Environmental)   Disasters & Disaster Relief   
12,"Tomorrow, and Tomorrow, and Tomorrow",26.04,416,Hardcover,English,"July 05, 2022",Knopf Publishing Group,Gabrielle Zevin,6.5 X 9.6 X 1.6 inches | 1.7 pounds,Action & Adventure   Literary   Romance - Contemporary   Cultural Heritage   Friendship   
13,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,15.81,416,Paperback,English,"April 03, 2018",Vintage,David Grann,5.1 X 7.9 X 0.9 inches | 0.86 pounds,United States - 20th Century   Murder - General   Native American   
14,Scaling People: Tactics for Management and Company Building,27.90,480,Hardcover,English,"March 07, 2023",Stripe Press,Claire Hughes Johnson,6.3 X 9.3 X 1.6 inches | 2.3 pounds,Leadership   Management - General   Organizational Development   Workplace Culture   
15,Outlive: The Science and Art of Longevity,29.76,496,Hardcover,English,"March 28, 2023",Harmony,Peter Attia,7.3 X 9.1 X 1.6 inches | 1.85 pounds,Diseases - General   Longevity   Aging   Life Sciences - Human Anatomy & Physiology   Physiology   
16,"Poverty, by America",26.04,304,Hardcover,English,"March 21, 2023",Crown Publishing Group (NY),Matthew Desmond,5.87 X 8.68 X 1.06 inches | 0.89 pounds,Public Policy - Social Policy   Poverty & Homelessness   Social Classes & Economic Disparity   
17,Crying in H Mart: A Memoir,25.06,256,Hardcover,English,"April 20, 2021",Knopf Publishing Group,Michelle Zauner,5.8 X 8.2 X 1.3 inches | 1.02 pounds,"Cultural, Ethnic & Regional - Asian & Asian American   Essays & Narratives   Death, Grief, Bereavement   "
18,On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,26.04,384,Hardcover,English,"May 23, 2023",Dial Press,Elise Loehnen,6.5 X 9.3 X 1.4 inches | 1.4 pounds,Women   Inspiration & Personal Growth   Women's Studies   Christian Living - General   
19,Yellowface,27.90,336,Hardcover,English,"May 16, 2023",William Morrow & Company,R. F. Kuang,6.3 X 9.1 X 1.3 inches | 1.05 pounds,Literary   Women   Satire   Asian American   Psychological   Thrillers - General   Cultural Heritage   
20,The Waldorf Astoria Bar Book,24.18,416,Hardcover,English,"May 17, 2016",Penguin Books,Frank Caiafa,5.8 X 8.3 X 1.3 inches | 1.1 pounds,Beverages - Alcoholic- General   Beverages - Alcoholic - Bartending   Entertaining - General   
21,Fourth Wing,27.89,528,Hardcover,English,"May 02, 2023",Entangled: Red Tower Books,Rebecca Yarros,6.35 X 9.24 X 1.36 inches | 1.62 pounds,Fantasy - Epic   Fantasy - Romantic   
22,"End Times: Elites, Counter-Elites, and the Path of Political Disintegration",26.04,368,Hardcover,English,"June 13, 2023",Penguin Press,Peter Turchin,6.42 X 9.81 X 1.27 inches | 1.31 pounds,Political Ideologies - Democracy   Anthropology - Cultural & Social   Future Studies   Political   
23,Democracy Awakening: Notes on the State of America,27.90,304,Hardcover,English,"September 26, 2023",Viking,Heather Cox Richardson,6.0 X 9.0 X 0.72 inches | 1.1 pounds,United States - General   Civics & Citizenship   Political Ideologies - Democracy   
24,Happy Place,25.11,400,Hardcover,English,"April 25, 2023",Berkley Books,Emily Henry,6.34 X 9.32 X 1.33 inches | 1.31 pounds,Romance - Romantic Comedy   Women   
25,The Book of Delights: Essays,23.20,288,Hardcover,English,"February 12, 2019",Algonquin Books,Ross Gay,5.2 X 7.2 X 1.2 inches | 0.64 pounds,"Essays   Inspiration & Personal Growth   Ethnic Studies - African American Studies   Cultural, Ethnic & Regional - African American & Black   Personal Memoirs   "
26,Lessons in Chemistry,26.97,400,Hardcover,English,"April 05, 2022",Doubleday Books,Bonnie Garmus,6.5 X 9.3 X 1.6 inches | 1.58 pounds,Humorous - General   Literary   Women   Feminist   
27,A Perfect Vintage,19.00,382,Paperback,English,"June 06, 2023",Orsay Press,Chelsea Fagan,5.5 X 8.5 X 0.85 inches | 1.07 pounds,Romance - Contemporary   Women   
28,The Guest,26.04,304,Hardcover,English,"May 16, 2023",Random House,Emma Cline,5.5 X 8.3 X 1.2 inches | 0.9 pounds,Literary   Psychological   Women   
29,The Late Americans,26.04,320,Hardcover,English,"May 23, 2023",Riverhead Books,Brandon Taylor,5.8 X 8.4 X 1.2 inches | 0.95 pounds,LGBT - Gay   Literary   Friendship   
